"Timestamp","Czy w ciągu ostatnich 5 lat przynajmniej raz uprawiałaś/-eś seks?","Czy w ciągu ostatnich 5 lat zdarzyło Ci się uprawiać seks bez prezerwatywy?","W ciągu ostatnich 5 lat z iloma mniej więcej partnerami/-kami byłaś/-eś aktywna/-ny seksualnie?","Jakie zachowania seksualne podejmowałaś/-eś w ciągu ostatnich 5 lat? (Wybierz te odpowiedzi które uważasz za słuszne)","W ciągu ostatnich 5 lat uprawiałaś/-eś seks po: (Wybierz te odpowiedzi, które uważasz za słuszne)","Czy uważasz, że temat bezpiecznego seksu dotyczy każdego?","Czy w ciągu ostatnich 5 lat wykonywałaś/-eś badania w kierunku chorób przenoszonych drogą płciową? (Kiła, Chlamydioza, Rzeżączka, Opryszczka narządów płciowych, WZW B, HPV)","Czy w ciągu ostatnich 5 lat robiłaś/-eś test na HIV?","Skąd pochodzi twoja wiedza na temat zachowań i praktyk seksualnych? (Wybierz tyle odpowiedzi ile uważasz za słuszne)","Co oznacza dla Ciebie pojęcie: ""Bezpieczny seks""? (Wybierz te odpowiedzi, które uważasz za słuszne) ","Płeć","Twój wiek mieści się w przedziale:","Jakie masz wykształcenie?","Twoje miejsce zamieszkania to:","Jaka jest Twoja sytuacja zawodowa?","Jaka jest Twoja orientacja seksualna?","Jaki jest Twój obecny status związku?","Opisując Twoje związki z ostatnich 5 lat oraz sytuację obecną, były one:"
"2019/04/11 8:14:10 pm CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks analny;Seks oralny;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja)","Alkoholu","Tak","Tak, robię to regularnie częściej niż co 3 miesiące","Tak, robię to regularnie częściej niż co 3 miesiące","Szkoła, studia, edukacja seksualna;Internet;Przyjaciele, znajomi;Lekarz, pielęgniarka, położna","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy","Mężczyzna ","26-33","Średnie","Miasto do 50 tys.","Pracownik","Homoseksualna","W związku homoseksualnym","Przeważnie zamknięte"
"2019/04/11 8:57:33 pm CET","Tak","Tak","11-20","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja);Fisting","Alkoholu;Narkotykach;Marihuanie;Poppersie","Tak","Tak, robię to regularnie co 3-6 miesięcy","Tak, robię to regularnie częściej niż co 3 miesiące","Szkoła, studia, edukacja seksualna;Internet;Książki i publikacje naukowe;Lekarz, pielęgniarka, położna","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;używanie jednorazowego sprzętu w czasie tzw. chemseksu;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;obserwacja i samobadanie narządów płciowych;higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej);seks z jednym, stałym partnerem","Mężczyzna","18-25","Wyższe magisterskie","Miasto pow. 1 mln","Student","Homoseksualna","Singiel/-ka","Ciężko powiedzieć"
"2019/04/11 9:36:26 pm CET","Tak","Tak","2-5","Seks waginalny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja)","Alkoholu","Tak","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Rodzice, rodzina, rodzeństwo;Pornografia (filmy, czasopisma);Przyjaciele, znajomi","podejmowanie świadomych kontaktów seksualnych;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;regularne badania kontrolne na choroby weneryczne;obserwacja i samobadanie narządów płciowych;higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie środków antykoncepcyjnych","Kobieta","26-33","Licencjat","Miasto od 500 tys. do 1 mln","Pracodawca","Homoseksualna","W związku homoseksualnym","Przeważnie zamknięte"
"2019/04/11 9:41:47 pm CET","Tak","Tak","11-20","Seks analny;Seks oralny","Alkoholu","Tak","Tak, robię to regularnie częściej niż co 3 miesiące","Tak, robię to regularnie częściej niż co 3 miesiące","Internet;Przyjaciele, znajomi","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;higiena osobista przed i po stosunku;używanie prezerwatywy","Mężczyzna","34-41","Wyższe magisterskie","Miasto od 250 do 500 tys.","Pracownik","Homoseksualna","Singiel/-ka","Tylko otwarte"
"2019/04/11 9:55:26 pm CET","Tak","Tak","6-10","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja)","Alkoholu","Tak","Tak, ale tylko raz","Tak, ale tylko raz","Szkoła, studia, edukacja seksualna;Internet","podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;seks z jednym, stałym partnerem","Mężczyzna","34-41","Wyższe magisterskie","Miasto pow. 1 mln","Freelancer - wolny zawód","Homoseksualna","W związku homoseksualnym","Tylko zamnknięte"
"2019/04/11 10:20:21 pm CET","Tak","Tak","21-50","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja)","Alkoholu;Poppersie","Nie. Kogo nie dotyczy? (Odpowiedź wpisz proszę w inne);Każdy ma prawo do niebezpiecznego seksu, o ile partnerzy seksualni akceptują ten stan rzeczy.","Tak, robię to co najmniej raz do roku","Tak, robię to co najmniej raz do roku","Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi;Książki i publikacje naukowe","używanie jednorazowego sprzętu w czasie tzw. chemseksu;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;regularne badania kontrolne na choroby weneryczne;stosowanie PEPu (doraźnej profilaktyki poekspozycyjnej);higiena osobista przed i po stosunku;używanie prezerwatywy","Mężczyzna","26-33","Licencjat","Miasto od 500 tys. do 1 mln","Pracownik","Homoseksualna","w otwartym związku homoseksualnym","Tylko otwarte"
"2019/04/11 10:57:59 pm CET","Tak","Tak","2-5","Seks analny;Seks oralny;Masturbacja","Alkoholu","Tak","Tak, dwa lub trzy razy","Tak, dwa lub trzy razy","Szkoła, studia, edukacja seksualna;Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;stosowanie środków dezynfekcyjnych na skórę i błony śluzowe;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;obserwacja i samobadanie narządów płciowych;stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej);seks z jednym, stałym partnerem","Mężczyzna","18-25","Wyższe inżynierskie","Miasto od 500 tys. do 1 mln","Student","Homoseksualna","Singiel/-ka","Tylko zamnknięte"
"2019/04/12 12:06:56 am CET","Tak","Tak","2-5","Seks analny;Seks oralny;Masturbacja","Alkoholu","Tak","Nie, ponieważ wszyscy/-tkie moi/moje partnerzy/-ki byli/były zdrowi/-e","Nie, ponieważ wszyscy/-tkie moi/moje partnerzy/-ki byli/były zdrowi/-e","Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi","rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;obserwacja i samobadanie narządów płciowych;stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej)","Mężczyzna","18-25","Średnie","Miasto od 250 do 500 tys.","Student","Homoseksualna","W związku homoseksualnym","Przeważnie zamknięte"
"2019/04/12 5:35:39 am CET","Tak","Tak","21-50","Seks analny;Seks oralny","Alkoholu;Poppersie","Tak","Nie, bo nie interesuje mnie to","Nie, bo nie interesuje mnie to","Szkoła, studia, edukacja seksualna;Internet;Książki i publikacje naukowe","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;używanie prezerwatywy","Mężczyzna","50-57","Wyższe magisterskie","Miasto pow. 1 mln","Pracownik","Homoseksualna","Singiel/-ka","Przeważnie otwarte"
"2019/04/12 7:37:21 am CET","Tak","Tak","51-100","Seks analny;Seks oralny;Masturbacja;Fisting","Alkoholu;Narkotykach;Poppersie","Tak","Tak, robię to regularnie co 3-6 miesięcy","Tak, robię to regularnie co 3-6 miesięcy","Internet;Przyjaciele, znajomi;Książki i publikacje naukowe","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;używanie jednorazowego sprzętu w czasie tzw. chemseksu;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;regularne badania kontrolne na choroby weneryczne;stosowanie PEPu (doraźnej profilaktyki poekspozycyjnej);obserwacja i samobadanie narządów płciowych;stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej);seks z jednym, stałym partnerem","Mężczyzna","34-41","Wyższe magisterskie","Miasto pow. 1 mln","Pracownik","Homoseksualna","W związku homoseksualnym","Przeważnie zamknięte"
"2019/04/12 10:20:29 am CET","Tak","Tak","2-5","Seks analny;Seks oralny;Masturbacja","Alkoholu","Tak","Nie, ponieważ wszyscy/-tkie moi/moje partnerzy/-ki byli/były zdrowi/-e","Nie, ponieważ jestem zdrowa/-wy. Wiem, bo nic mi nie dolega","Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;regularne badania kontrolne na choroby weneryczne","Mężczyzna","18-25","Średnie","MIasto od 50 do 100 tys.","Pracownik","Homoseksualna","Singiel/-ka","Przeważnie otwarte"
"2019/04/12 12:16:25 pm CET","Tak","Tak","11-20","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja)","Alkoholu","Tak","Nie, ponieważ jestem zdrowa/-wy. Wiem, bo nic mi nie dolega","Tak, dwa lub trzy razy","Internet;Książki i publikacje naukowe;Lekarz, pielęgniarka, położna","używanie jednorazowego sprzętu w czasie tzw. chemseksu;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;regularne badania kontrolne na choroby weneryczne;stosowanie PEPu (doraźnej profilaktyki poekspozycyjnej);obserwacja i samobadanie narządów płciowych;higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej)","Mężczyzna","26-33","Średnie","MIasto od 50 do 100 tys.","Pracownik","Homoseksualna","W związku partnerskim jednopłciowym","Przeważnie zamknięte"
"2019/04/12 1:44:50 pm CET","Tak","Nie","51-100","Seks analny;Seks oralny;Masturbacja;Fisting","Opioidach i/lub benzodiazepinach (silne leki uspokajające, przeciwpsychotyczne, nasenne, przeciwlękowe, przeciwdepresyjne, przeciwbólowe i przeciwkaszlowe);Poppersie","Tak","Tak, robię to regularnie co 3-6 miesięcy","Tak, robię to regularnie co 3-6 miesięcy","Pornografia (filmy, czasopisma);Internet","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;używanie jednorazowego sprzętu w czasie tzw. chemseksu;używanie prezerwatywy;seks z jednym, stałym partnerem","Mężczyzna","18-25","Doktorskie i wyżej","Miasto od 250 do 500 tys.","Student","Homoseksualna","Singiel/-ka","Ciężko powiedzieć"
"2019/04/12 3:13:19 pm CET","Tak","Tak","6-10","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja);Fisting","Alkoholu;Marihuanie","Tak","Tak, dwa lub trzy razy","Tak, dwa lub trzy razy","Szkoła, studia, edukacja seksualna;Internet;Przyjaciele, znajomi;Lekarz, pielęgniarka, położna","podejmowanie świadomych kontaktów seksualnych;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej)","Mężczyzna","26-33","Średnie","Miasto od 500 tys. do 1 mln","Pracownik","Homoseksualna","W związku homoseksualnym","Tylko otwarte"
"2019/04/12 7:51:39 pm CET","Tak","Tak","11-20","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja);rimming, sneakers","Poppersie","Tak","Tak, dwa lub trzy razy","Tak, ale tylko raz","Pornografia (filmy, czasopisma);Internet","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;higiena osobista przed i po stosunku;używanie prezerwatywy;stosowanie środków antykoncepcyjnych","Mężczyzna","26-33","Wyższe magisterskie","Miasto pow. 1 mln","Pracownik","Homoseksualna","Singiel/-ka","Ciężko powiedzieć"
"2019/04/12 9:08:32 pm CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks oralny","Żadne z powyższych","Tak","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Szkoła, studia, edukacja seksualna;Książki i publikacje naukowe","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;higiena osobista przed i po stosunku;seks z jednym, stałym partnerem","Kobieta","42-49","Licencjat","Miasto od 250 do 500 tys.","Pracownik","Heteroseksualna","W małżeństwie","Tylko zamnknięte"
"2019/04/12 9:21:17 pm CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks waginalny","Żadne z powyższych","Tak","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Jestem inteligentnym człowiekiem i dbam o siebie","rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;higiena osobista przed i po stosunku;używanie prezerwatywy;seks z jednym, stałym partnerem","Kobieta","42-49","Średnie","Wieś","Freelancer - wolny zawód","Heteroseksualna","W małżeństwie","Tylko zamnknięte"
"2019/04/12 9:39:25 pm CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks waginalny","Alkoholu","Tak","Tak, robię to co najmniej raz do roku","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Książki i publikacje naukowe","podejmowanie świadomych kontaktów seksualnych;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach","Kobieta","42-49","Wyższe magisterskie","Miasto do 50 tys.","Pracodawca","Heteroseksualna","W małżeństwie","Tylko zamnknięte"
"2019/04/12 10:06:13 pm CET","Tak","Tak","2-5","Seks analny;Seks oralny","Alkoholu;Poppersie","Tak","Tak, robię to co najmniej raz do roku","Tak, robię to co najmniej raz do roku","Szkoła, studia, edukacja seksualna;Internet","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;regularne badania kontrolne na choroby weneryczne","Mężczyzna","26-33","Średnie","Miasto od 250 do 500 tys.","Pracownik","Homoseksualna","W związku homoseksualnym","Tylko zamnknięte"
"2019/04/12 10:51:41 pm CET","Tak","Nie","z jednym/z jedną stałym/stałą partnerem/-ką","Seks waginalny","Żadne z powyższych","Tak","Tak, robię to co najmniej raz do roku","Tak, robię to co najmniej raz do roku","Szkoła, studia, edukacja seksualna","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;rozmowa z partnerem seksualnym przed i/lub po stosunku;używanie prezerwatywy;seks z jednym, stałym partnerem","Kobieta","42-49","Doktorskie i wyżej","Miasto od 500 tys. do 1 mln","Pracownik","Heteroseksualna","W związku partnerskim","Tylko zamnknięte"
"2019/04/12 11:34:51 pm CET","Tak","Tak","2-5","Seks waginalny;Masturbacja","Alkoholu","Tak","Tak, robię to regularnie co 3-6 miesięcy","Tak, ale tylko raz","Szkoła, studia, edukacja seksualna;Rodzice, rodzina, rodzeństwo;Internet;Książki i publikacje naukowe;Lekarz, pielęgniarka, położna","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;regularne badania kontrolne na choroby weneryczne;higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;seks z jednym, stałym partnerem","Kobieta","42-49","Licencjat","Miasto od 250 do 500 tys.","Pracownik","Heteroseksualna","W związku heteroseksualnym","Tylko zamnknięte"
"2019/04/12 11:46:16 pm CET","Tak","Tak","2-5","Seks analny;Seks oralny;Pissing","Żadne z powyższych","Tak","Tak, robię to co najmniej raz do roku","Tak, ale tylko raz","Książki i publikacje naukowe;Lekarz, pielęgniarka, położna","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;stosowanie PEPu (doraźnej profilaktyki poekspozycyjnej);stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej)","Mężczyzna","42-49","Wyższe magisterskie","Miasto do 50 tys.","Pracownik","Homoseksualna","W związku homoseksualnym","Tylko zamnknięte"
"2019/04/13 12:11:11 am CET","Nie","","","","","","","","","","","","","","","","",""
"2019/04/13 6:26:45 am CET","Nie","","","","","","","","","","","","","","","","",""
"2019/04/13 6:27:03 am CET","Nie","","","","","","","","","","","","","","","","",""
"2019/04/13 7:06:08 am CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks waginalny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja)","Żadne z powyższych","Tak","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Książki i publikacje naukowe;Lekarz, pielęgniarka, położna","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;używanie prezerwatywy;seks z jednym, stałym partnerem","Kobieta","34-41","Wyższe magisterskie","Wieś","Pracownik","Heteroseksualna","W małżeństwie","Tylko zamnknięte"
"2019/04/13 8:48:26 am CET","Tak","Tak","6-10","Seks analny;Seks oralny;Masturbacja","Alkoholu;Marihuanie;Poppersie","Tak","Tak, robię to co najmniej raz do roku","Tak, robię to co najmniej raz do roku","Internet","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;regularne badania kontrolne na choroby weneryczne;obserwacja i samobadanie narządów płciowych;higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy","Mężczyzna","50-57","Wyższe magisterskie","Miasto pow. 1 mln","Freelancer - wolny zawód","Homoseksualna","Singiel/-ka","Przeważnie otwarte"
"2019/04/13 9:16:11 am CET","Tak","Tak","nie wiem, nie liczę tego","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja);Fisting","Alkoholu","Nie. Kogo nie dotyczy? (Odpowiedź wpisz proszę w inne);Monogamistów","Tak, ale tylko raz","Tak, ale tylko raz","Pornografia (filmy, czasopisma);Internet;Książki i publikacje naukowe","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;seks z jednym, stałym partnerem;stosowanie środków antykoncepcyjnych","Mężczyzna","26-33","Wyższe magisterskie","Miasto od 250 do 500 tys.","Pracownik","Homoseksualna","W związku homoseksualnym","Tylko zamnknięte"
"2019/04/13 10:55:52 am CET","Tak","Tak","11-20","Seks analny;Seks oralny;Masturbacja;Petting (stosunek bez penetracji oralnej, waginalnej i analnej, wzajemna masturbacja)","Żadne z powyższych","Tak","Tak, robię to co najmniej raz do roku","Tak, robię to co najmniej raz do roku","Pornografia (filmy, czasopisma);Internet","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;stosowanie środków dezynfekcyjnych na skórę i błony śluzowe;używanie jednorazowego sprzętu w czasie tzw. chemseksu;podejmowanie świadomych kontaktów seksualnych;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;regularne badania kontrolne na choroby weneryczne;obserwacja i samobadanie narządów płciowych;stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej);seks z jednym, stałym partnerem","Mężczyzna","26-33","Wyższe magisterskie","Miasto od 500 tys. do 1 mln","Pracownik","Homoseksualna","W związku homoseksualnym","Tylko otwarte"
"2019/04/13 1:01:54 pm CET","Tak","Tak","11-20","Seks analny;Seks oralny;Masturbacja","Alkoholu;Marihuanie;Poppersie","Tak","Tak, robię to co najmniej raz do roku","Tak, robię to co najmniej raz do roku","Internet;Przyjaciele, znajomi","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;stosowanie środków dezynfekcyjnych na skórę i błony śluzowe;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;stosowanie PEPu (doraźnej profilaktyki poekspozycyjnej);obserwacja i samobadanie narządów płciowych;stosowanie leczenia jako zapobieganie zakażenia HIV (TasP);higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie PrEPu (profilaktyki przedekspozycyjnej);seks z jednym, stałym partnerem;seks analny i/lub oralny;seks nieprowadzący do ejakulacji;stosowanie środków antykoncepcyjnych","Mężczyzna","18-25","Licencjat","Miasto do 50 tys.","Student","Homoseksualna","Singiel/-ka","Przeważnie otwarte"
"2019/04/13 1:10:56 pm CET","Tak","Nie","6-10","Seks analny;Seks oralny;Masturbacja","Żadne z powyższych","Tak","Nie, ponieważ zawsze używam prezerwatywy","Nie, ponieważ zawsze używam prezerwatywy","Pornografia (filmy, czasopisma);Internet","podejmowanie świadomych kontaktów seksualnych;obserwacja i samobadanie narządów płciowych;higiena osobista przed i po stosunku;używanie prezerwatywy","Mężczyzna","18-25","Średnie","Miasto od 500 tys. do 1 mln","Student","Homoseksualna","Singiel/-ka","Ciężko powiedzieć"
"2019/04/13 2:33:45 pm CET","Tak","Tak","z jednym/z jedną stałym/stałą partnerem/-ką","Seks analny;Seks oralny;Masturbacja","Alkoholu;Poppersie","Tak","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Nie, nie muszę tego robić, bo od ponad 5 lat mam stałego/-łą partnera/-kę","Szkoła, studia, edukacja seksualna;Internet;Książki i publikacje naukowe","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;stosowanie środków dezynfekcyjnych na skórę i błony śluzowe;używanie jednorazowego sprzętu w czasie tzw. chemseksu;podejmowanie świadomych kontaktów seksualnych;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;obserwacja i samobadanie narządów płciowych;higiena osobista przed i po stosunku;seks z jednym, stałym partnerem","Mężczyzna","42-49","Wyższe magisterskie","Miasto od 250 do 500 tys.","Pracownik","Homoseksualna","W związku homoseksualnym","Tylko zamnknięte"
"2019/04/13 2:36:34 pm CET","Tak","Tak","2-5","Seks analny;Seks oralny;Masturbacja","Poppersie","Tak","Tak, robię to regularnie co 3-6 miesięcy","Tak, robię to regularnie co 3-6 miesięcy","Pornografia (filmy, czasopisma);Internet;Przyjaciele, znajomi","świadome informowanie partnera seksualnego o potencjalnym możliwym zakażeniu chorobą/-ami wenerycznymi;używanie lubrykantów;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;seks z jednym, stałym partnerem;seks analny i/lub oralny","Mężczyzna","18-25","Średnie","Wieś","Uczeń","Homoseksualna","W związku homoseksualnym","Tylko zamnknięte"
"2019/04/13 3:08:00 pm CET","Tak","Nie","2-5","Seks analny;Seks oralny;Masturbacja","Żadne z powyższych","Tak","Nie, ponieważ zawsze używam prezerwatywy","Tak, ale tylko raz","Pornografia (filmy, czasopisma);Książki i publikacje naukowe","podejmowanie świadomych kontaktów seksualnych;rozmowa z partnerem / małżonkiem o możliwych zagrożeniach;rozmowa z partnerem seksualnym przed i/lub po stosunku;regularne badania kontrolne na choroby weneryczne;higiena osobista przed i po stosunku;regularne badania kontrolne na HIV i WZW B;używanie prezerwatywy;stosowanie środków antykoncepcyjnych","Mężczyzna","34-41","Wyższe magisterskie","Miasto od 250 do 500 tys.","Pracodawca","Homoseksualna","W związku homoseksualnym","Tylko zamnknięte"
