"Timestamp","Você fez sexo nos últimos 5 anos?","Nos últimos 5 anos, teve relações sexuais sem preservativo?","Com quantos parceiros teve relações sexuais nos últimos 5 anos?","Que práticas sexuais realizou nos últimos 5 anos? (Escolha todas as opções que se apliquem)","Nos últimos 5 anos, teve relações sexuais depois de consumir: (Escolha todas as opções que se apliquem)","Considera que sexo seguro é algo a levar em consideração por todos?","Nos últimos 5 anos, fez análises a DSTs (doenças sexualmente transmissíveis)? (sífilis, clamídia, gonorréia, trato genital, hepatite, hpv)","Nos últimos 5 anos, fez análises a VIH (Vírus da Imunodeficiência humana)?","Onde aprendeu o que sabe sobre comportamentos e práticas sexuais? (Escolha todas as opções que se apliquem)","O que é, para si, sexo seguro? (Escolha todas as opções que se apliquem)","Sexo","Qual é o seu nível de educação?","Qual é a sua idade?","A sua área de residência é…","Qual é a sua situação profissional?","Qual é a sua orientação sexual?","Qual o seu estado civil?","Como descreveria as suas relações nos últimos 5 anos?"
"2019/04/17 4:42:11 pm CET","Sim","Sim","11-20","Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Nenhuma das respostas possíveis ","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, faço, pelo menos, uma vez por ano.","Escola e educação sexual.;Familia;Internet;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição);Usar métodos contracetivos","Homem","Licenciatura","18-25","Uma cidade com menos de 50.000 habitantes.","Empregado","Homossexual","Numa relação homossexual","É complicado"
"2019/04/17 4:45:20 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação","Nenhuma ","Sim","Sim, fiz uma vez.","Não, todos os meus parceiros são saudáveis.","Escola e educação sexual.;Familia;Internet;Amogis e colegas;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 100.000 a 250.000 habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 4:50:18 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação","Álcool","Sim","Não, todos os meus parceiros são saudáveis.","Não, todos os meus parceiros são saudáveis.","Escola e educação sexual.;Amogis e colegas;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar de preservativo;Usar métodos contracetivos","Mulher","Secundária","18-25","Uma cidade com mais de 1 milhão de habitantes.","Estudante","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 4:53:07 pm CET","Sim","Sim","11-20","Sexo anal;Sexo oral;Masturbação","Álcool;Drogas","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, fiz uma vez.","Escola e educação sexual.;Internet;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição)","Homem","Doutoramento ou superior","26-33","Uma cidade com mais de 1 milhão de habitantes.","Trabalhador independente","Homossexual","Casado com alguém do mesmo sexo","Abertas"
"2019/04/17 4:53:21 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 4:56:25 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo anal;Sexo oral;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Drogas","Sim","Sim, fiz duas ou três vezes.","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Escola e educação sexual.;Internet;Amogis e colegas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Higiene pessoal antes e depois de ter relações sexuais;Ter relações apenas com um parceiro;Usar métodos contracetivos","Mulher","Mestrado","18-25","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Empregado","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 5:04:06 pm CET","Sim","Não","Com um parceiro","Sexo vaginal;Sexo anal;Sexo oral;Masturbação","Álcool;Marijuana","Sim","Não, todos os meus parceiros são saudáveis.","Não, todos os meus parceiros são saudáveis.","Escola e educação sexual.;Familia;Internet","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Mestrado","18-25","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 5:06:26 pm CET","Sim","Sim","Mais de 100","Sexo anal;Sexo oral;Masturbação","Álcool;Poppers","Sim","Sim, faço análises regularmente, com menos de três meses de intervalo.","Sim, faço análises regularmente, com menos de três meses de intervalo.","Médicos, enfermeiros e outros profissionais de saúde.","Fazer análises a DSTs regularmente.;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição);Usar métodos contracetivos","Homem","Mestrado","26-33","Uma cidade que tem entre 100.000 a 250.000 habitantes.","Empresário","Homossexual","Numa relação homossexual","Maioritariamente abertas"
"2019/04/17 5:15:14 pm CET","Sim","Sim","Mais de 100","Sexo anal;Sexo oral;Masturbação","Álcool","Sim","Sim, faço análises regularmente, com menos de três meses de intervalo.","Sim, faço análises regularmente, com menos de três meses de intervalo.","Pornografia (filmes e revistas);Internet;Amogis e colegas;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Usar lubrificante.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição)","Homem","Doutoramento ou superior","18-25","Uma cidade que tem entre 250.000 a 500.000 habitantes.","Empregado","Homossexual","Solteiro","Fechadas"
"2019/04/17 5:38:52 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação","Álcool;Marijuana","Sim","Sim, fiz uma vez.","Sim, fiz uma vez.","Pornografia (filmes e revistas);Internet;Amogis e colegas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais","Mulher","Licenciatura","18-25","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Estudante","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 5:40:17 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Não, não preciso fazer porque tenho o mesmo parceiro há mais de 5 anos.","Escola e educação sexual.;Familia;Pornografia (filmes e revistas);Internet;Amogis e colegas;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Ter relações apenas com um parceiro;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade com mais de 1 milhão de habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 5:53:48 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Nenhum","Sim","Sim, fiz duas ou três vezes.","Sim, fiz duas ou três vezes.","Escola e educação sexual.;Pornografia (filmes e revistas);Internet;Amogis e colegas;Livros e publicações científicas","Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Uso de tratamento como prevenção da infeção de VIH;Análises regulares a VIH e Hepatite B;Usar de preservativo;Ter relações apenas com um parceiro;Usar métodos contracetivos","Mulher","Mestrado","18-25","Uma aldeia.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 6:00:43 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo anal;Sexo oral;Masturbação","Álcool;Marijuana","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, faço, pelo menos, uma vez por ano.","Escola e educação sexual.;Familia;Internet;Amogis e colegas;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade com mais de 1 milhão de habitantes.","Estudante universitário","Homossexual","Numa relação homossexual","Fechadas"
"2019/04/17 6:05:40 pm CET","Sim","Não","2-5","Sexo vaginal;Sexo oral;Masturbação","Álcool","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, fiz uma vez.","Escola e educação sexual.;Familia;Internet","Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma aldeia.","Estudante universitário","Heterossexual","Solteiro. ","Fechadas"
"2019/04/17 6:06:51 pm CET","Sim","Sim","2-5","Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Não, sou saudável. Sei que não preciso porque não tenho sintomas.","Não, sou saudável. Sei que não preciso porque não tenho sintomas.","Internet;Amogis e colegas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição)","Mulher","Licenciatura","18-25","Uma cidade com mais de 1 milhão de habitantes.","Estudante universitário","Heterossexual","Solteira","Fechadas"
"2019/04/17 6:07:09 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo anal;Sexo oral;Masturbação","Álcool","Sim","Sim, faço, pelo menos, uma vez por ano.","Não, sou saudável. Sei que não preciso porque não tenho sintomas.","Escola e educação sexual.;Familia;Pornografia (filmes e revistas);Internet;Amogis e colegas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","34-41","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Empregado","Heterossexual","Em união de facto com alguém do sexo oposto","Abertas"
"2019/04/17 6:08:30 pm CET","Sim","Sim","2-5","Sexo oral;Masturbação","Nenhum","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, faço, pelo menos, uma vez por ano.","Pornografia (filmes e revistas);Internet;Amogis e colegas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição)","Homem","Ensino profissional","42-49","Uma cidade com mais de 1 milhão de habitantes.","Trabalhador independente","Homossexual","Casado com alguém do mesmo sexo","Abertas"
"2019/04/17 6:15:22 pm CET","Sim","Não","Com um parceiro","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal);Fisting","Nada","Sim","Não, não estou interessado em saber.","Não, não estou interessado em saber.","Escola e educação sexual.;Familia;Internet;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Usar de preservativo;Usar métodos contracetivos","Mulher","Secundária","26-33","Uma cidade com menos de 50.000 habitantes.","Empregado","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 6:20:23 pm CET","Sim","Sim","Com um parceiro","Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Nada","Sim","Não, não estou interessado em saber.","Não, não estou interessado em saber.","Internet","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Secundária","18-25","Uma cidade com menos de 50.000 habitantes.","Estudante universitário","Bissexual","Solteira","É complicado"
"2019/04/17 6:27:45 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 6:39:20 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Marijuana","Sim","Sim, fiz duas ou três vezes.","Sim, fiz uma vez.","Escola e educação sexual.;Internet","Ter contactos sexuais conscientes.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Análises regulares a VIH e Hepatite B;Usar de preservativo","Mulher","Licenciatura","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Bissexual","Numa relação heterossexual","Fechadas"
"2019/04/17 6:54:34 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 6:58:02 pm CET","Sim","Não","Mais de 100","Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Poppers","Sim","Sim, faço análises regularmente, com menos de três meses de intervalo.","Sim, faço análises regularmente, com menos de três meses de intervalo.","Escola e educação sexual.;Familia;Pornografia (filmes e revistas);Internet;Amogis e colegas;Médicos, enfermeiros e outros profissionais de saúde.","Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Usar de preservativo;Usar métodos contracetivos","Homem","Mestrado","18-25","Uma cidade com mais de 1 milhão de habitantes.","Empregado","Homossexual","Numa relação homossexual","Abertas"
"2019/04/17 7:20:09 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 7:21:35 pm CET","Sim","Sim","11-20","Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Drogas;Marijuana;Poppers","Sim","Sim, faço regularmente, com um intervalo de três a seis meses.","Sim, faço, pelo menos, uma vez por ano.","Pornografia (filmes e revistas);Internet;Amogis e colegas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo","Homem","Secundária","18-25","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Estudante universitário","Homossexual","Numa relação homossexual","Fechadas"
"2019/04/17 7:21:36 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Drogas;Marijuana;Opiáceos e / ou benzodiazepínicos","Sim","Não, todos os meus parceiros são saudáveis.","Não, todos os meus parceiros são saudáveis.","Familia;Pornografia (filmes e revistas);Internet","Informar o parceiro sexual de uma possível infeção.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 100.000 a 250.000 habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 7:27:26 pm CET","Sim","Sim","6-10","Sexo vaginal;Sexo oral;Masturbação","Álcool;Marijuana;Opiáceos e / ou benzodiazepínicos","Sim","Sim, fiz uma vez.","Sim, fiz uma vez.","Internet","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição);Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Bissexual","Solteirx","Maioritariamente fechadas"
"2019/04/17 7:37:04 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 7:43:03 pm CET","Sim","Sim","6-10","Sexo vaginal;Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Marijuana","Sim","Não, todos os meus parceiros são saudáveis.","Não, todos os meus parceiros são saudáveis.","Escola e educação sexual.;Pornografia (filmes e revistas);Internet;Amogis e colegas;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Usar lubrificante.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade com mais de 1 milhão de habitantes.","Estudante universitário","Bissexual","Solteira","Maioritariamente fechadas"
"2019/04/17 7:53:22 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo anal;Sexo oral;Masturbação","Álcool;Marijuana","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, fiz uma vez.","Escola e educação sexual.;Familia","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma aldeia.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 8:05:41 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 8:13:41 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação","Álcool","Sim","Sim, fiz uma vez.","Não, sou saudável. Sei que não preciso porque não tenho sintomas.","Escola e educação sexual.;Internet","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Fazer análises a DSTs regularmente.;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade com mais de 1 milhão de habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Maioritariamente fechadas"
"2019/04/17 8:15:24 pm CET","Sim","Não","Com um parceiro","Sexo vaginal;Sexo oral;Masturbação","Nenhuma das opções","Sim","Não, uso sempre preservativo.","Não, uso sempre preservativo.","Pornografia (filmes e revistas);Internet","Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Ter relações apenas com um parceiro;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade com menos de 50.000 habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 8:16:20 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação","Álcool","Sim","Sim, fiz duas ou três vezes.","Sim, fiz uma vez.","Pornografia (filmes e revistas)","Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Tomar PrEP (profilaxia pre-exposição);Ter relações apenas com um parceiro;Praticar o coito interrompido;Praticar sexo anal/oral;Praticar sexo sem ejaculação;Usar métodos contracetivos","Homem","Secundária","18-25","Uma cidade com menos de 50.000 habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 8:19:35 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Sim, faço regularmente, com um intervalo de três a seis meses.","Sim, faço regularmente, com um intervalo de três a seis meses.","Escola e educação sexual.;Familia;Livros e publicações científicas","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Usar PEP (profilaxia pós-exposição);Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 500.000 a 1 milhão habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Maioritariamente fechadas"
"2019/04/17 8:37:36 pm CET","Sim","Sim","Com um parceiro","Sexo vaginal;Sexo oral;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool","Sim","Sim, fiz duas ou três vezes.","Não, sou saudável. Sei que não preciso porque não tenho sintomas.","Escola e educação sexual.;Familia;Livros e publicações científicas;Médicos, enfermeiros e outros profissionais de saúde.","Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma aldeia.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
"2019/04/17 8:52:00 pm CET","Não","","","","","","","","","","","","","","","","",""
"2019/04/17 9:00:03 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo anal;Sexo oral;Masturbação","Álcool;Marijuana","Sim","Sim, fiz duas ou três vezes.","Sim, fiz uma vez.","Escola e educação sexual.;Familia;Médicos, enfermeiros e outros profissionais de saúde.","Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade com mais de 1 milhão de habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Abertas"
"2019/04/17 9:02:28 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo anal;Sexo oral;Masturbação;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Não tive relações depois de consumir substâncias.","Sim","Não, todos os meus parceiros são saudáveis.","Não, todos os meus parceiros são saudáveis.","Escola e educação sexual.;Familia;Internet;Médicos, enfermeiros e outros profissionais de saúde.","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Uso de tratamento como prevenção da infeção de VIH;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Ter relações apenas com um parceiro;Usar métodos contracetivos","Mulher","Secundária","18-25","Uma cidade com mais de 1 milhão de habitantes.","Estudante universitário","Bissexual","Numa relação heterossexual","Fechadas"
"2019/04/17 9:05:27 pm CET","Sim","Sim","2-5","Sexo vaginal;Sexo anal;Sexo oral;Petting (estímulo sexual sem a ocorrência de sexo oral, anal ou vaginal)","Álcool;Drogas","Sim","Sim, faço, pelo menos, uma vez por ano.","Sim, fiz uma vez.","Escola e educação sexual.;Internet","Informar o parceiro sexual de uma possível infeção.;Ter contactos sexuais conscientes.;Usar lubrificante.;Conversar com o parceiro/cônjuge sobre possíveis riscos.;Conversar com o parceiro sexual antes e/ou depois de ter relações sexuais.;Fazer análises a DSTs regularmente.;Auto observação e análise genital;Higiene pessoal antes e depois de ter relações sexuais;Análises regulares a VIH e Hepatite B;Usar de preservativo;Usar métodos contracetivos","Mulher","Licenciatura","18-25","Uma cidade que tem entre 50.000 a 100.000 habitantes.","Estudante universitário","Heterossexual","Numa relação heterossexual","Fechadas"
