"Timestamp","Вы занимались сексом в последние 5 лет?","Занимались ли Вы сексом без презерватива (хотя бы единожды) за последние 5 лет?","С каким количеством партнеров вы были сексуально активны за последние 5 лет?","Какое сексуальное поведение у Вас было в последние 5 лет? (Выберите все подходящие ответы)","В последние 5 лет был ли у Вас хоть единожды секс после: (Выберите все подходящие ответы)","Как Вы думаете, относится ли тема безопасного секса ко всем?","Проверялись ли Вы на ЗППП (заболевания, передающиеся половым путем) за последние 5 лет? (сифилис, хламидиоз, гонорея, генитальный герпес, гепатит, ВПЧ)","За последние 5 лет проходили ли вы тестирование на ВИЧ?","Откуда Ваши знания о сексуальном поведении и практиках? (Выберите все подходящие ответы)","Что для вас означает термин «безопасный секс»? (Выберите все подходящие ответы)","Ваш пол/гендер:","Какое у Вас образование?","Ваш возраст:","Ваше место жительства:","Каков Ваш род занятий?","Какая Ваша сексуальная ориентация?","Каков текущий статус Ваших отношений?","Описывая Ваши отношения за последние 5 лет (включая текущие), они были:"
"2019/05/06 5:52:55 pm CET","Да","Да","2-5","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Фистинг","алкоголя","Да","Да, однажды","Нет, потому что я здоров. Я знаю, потому что у меня нет никаких симптомов","Школа, учеба, половое образование;Интернет","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Женщина","Магистр","18-25","город с населением до 50 тысяч человек","работник","Гетеросексуал","Одинок/а","только закрытыми"
"2019/05/06 6:00:15 pm CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Оральный секс;Мастурбация","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, два или три раза","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером;использование противозачаточных средств","Женщина","Магистр","18-25","город с населением от 50 до 100 тысяч человек","работник","Гетеросексуал","В браке","только закрытыми"
"2019/05/06 6:44:06 pm CET","Да","Да","2-5","Вагинальный секс;Оральный секс","алкоголя","Да","Нет, потому что все мои партнеры были здоровы","Да, однажды","Друзья, сотрудники","использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов;использование презервативов;секс с одним постоянным партнером;прерывание полового акта;использование противозачаточных средств","Женщина","Профессионально-техническое образование","26-33","город с населением от 50 до 100 тысяч человек","работник","Гетеросексуал","В партнерстве","преимущественно открытыми"
"2019/05/06 8:24:04 pm CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация","ничего из вышеперечисленного","Да","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Нет, потому что я здоров. Я знаю, потому что у меня нет никаких симптомов","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","использование дезинфицирующих средств для кожи и слизистых оболочек;разговор с партнером/супругом о возможных рисках;использование ПКП (немедленная постконтактная профилактика);личная гигиена до и после полового акта;секс с одним постоянным партнером;прерывание полового акта;анальный и/или оральный секс","Женщина","Бакалавр","18-25","город с населением до 50 тысяч человек","студент","Звичайна","Складно","сложно сказать"
"2019/05/06 10:11:10 pm CET","Нет","","","","","","","","","","","","","","","","",""
"2019/05/06 10:16:10 pm CET","Нет","","","","","","","","","","","","","","","","",""
"2019/05/06 10:19:58 pm CET","Да","Да","2-5","Вагинальный секс","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Нет, потому что все мои партнеры были здоровы","Интернет","секс с одним постоянным партнером","Женщина","Бакалавр","26-33","город с населением от 250 до 500 тысяч человек","безработный","Гетеросексуал","В браке","только открытыми"
"2019/05/06 10:21:39 pm CET","Да","Да","2-5","Вагинальный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","ничего из вышеперечисленного","Да","Нет, потому что все мои партнеры были здоровы","Нет, потому что все мои партнеры были здоровы","Школа, учеба, половое образование;Порнография (фильмы, журналы);Интернет","уведомление сексуального партнёра о возможной инфекции;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером","Женщина","Бакалавр","18-25","город с населением от 500 000 до 1 миллиона человек","студент","Гетеросексуал","В партнерстве","только открытыми"
"2019/05/06 10:28:39 pm CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, два или три раза","Порнография (фильмы, журналы);Интернет;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов","Женщина","Бакалавр","18-25","город с населением до 50 тысяч человек","работник","Гетеросексуал","В браке","преимущественно закрытыми"
"2019/05/06 10:36:01 pm CET","Да","Да","2-5","Вагинальный секс","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Нет, потому что я здоров. Я знаю, потому что у меня нет никаких симптомов","Родители, семья, братья и сёстры","разговор с партнером/супругом о возможных рисках","Женщина","Магистр","18-25","посёлок","студент","Гетеросексуал","В браке","только открытыми"
"2019/05/06 10:40:05 pm CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Оральный секс;Мастурбация","алкоголя;ничего из вышеперечисленного","Да","Да, два или три раза","Да, я делаю это, по крайней мере, один раз в год.","Школа, учеба, половое образование;Порнография (фильмы, журналы);Интернет;Книги и научные публикации","установление сознательных сексуальных контактов;наблюдение и самоосмотр гениталий;использование презервативов;секс с одним постоянным партнером","Женщина","инженер","26-33","город с населением в 1 миллион человек и выше","работник","Гетеросексуал","В браке","преимущественно закрытыми"
"2019/05/06 10:40:20 pm CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Оральный секс;Мастурбация","алкоголя;ничего из вышеперечисленного","Да","Да, два или три раза","Да, я делаю это, по крайней мере, один раз в год.","Школа, учеба, половое образование;Порнография (фильмы, журналы);Интернет;Книги и научные публикации","установление сознательных сексуальных контактов;наблюдение и самоосмотр гениталий;использование презервативов;секс с одним постоянным партнером","Женщина","инженер","26-33","город с населением в 1 миллион человек и выше","работник","Гетеросексуал","В браке","преимущественно закрытыми"
"2019/05/06 10:40:22 pm CET","Да","Да","2-5","Вагинальный секс;Оральный секс;Мастурбация","алкоголя","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Да, однажды","Интернет;Книги и научные публикации;Участь у вебінарах на цю тему","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов;использование противозачаточных средств","Женщина","Бакалавр","26-33","город с населением от 100 до 250 тысяч человек","работник","Гетеросексуал","В браке","сложно сказать"
"2019/05/06 10:47:41 pm CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Анальный секс;Оральный секс","алкоголя","Да","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Да, однажды","Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;секс с одним постоянным партнером","Мужчина","Магистр","34-41","город с населением от 250 до 500 тысяч человек","работник","Гетеросексуал","В браке","преимущественно закрытыми"
"2019/05/06 11:14:40 pm CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Оральный секс","ничего из вышеперечисленного","Да","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Интернет","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером","Женщина","Бакалавр","18-25","город с населением от 500 000 до 1 миллиона человек","студент","Гетеросексуал","В браке","только закрытыми"
"2019/05/07 12:11:57 am CET","Да","Да","С одним постоянным партнером","Традиционный вагинальный","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, однажды","Школа, учеба, половое образование;Родители, семья, братья и сёстры","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером","Женщина","Бакалавр","18-25","город с населением до 50 тысяч человек","работник","Гетеросексуал","В браке","преимущественно открытыми"
"2019/05/07 12:30:17 am CET","Да","Да","2-5","Вагинальный секс;Оральный секс;Мастурбация","ничего из вышеперечисленного","Да","Да, однажды","Да, однажды","Школа, учеба, половое образование;Порнография (фильмы, журналы);Интернет","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с сексуальным партнером до и/или после полового акта;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером;использование противозачаточных средств","Мужчина","Магистр","18-25","город с населением в 1 миллион человек и выше","работник","Гетеросексуал","В гетеросексуальных отношениях","сложно сказать"
"2019/05/07 4:58:37 am CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","использование лубриканта;личная гигиена до и после полового акта;использование презервативов;использование PrEP (пред-контактная профилактика);секс с одним постоянным партнером","Женщина","Магистр","18-25","город с населением от 100 до 250 тысяч человек","работник","Гетеросексуал","В браке","преимущественно закрытыми"
"2019/05/07 5:09:05 am CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация","алкоголя","Да","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Интернет","уведомление сексуального партнёра о возможной инфекции;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование презервативов;секс с одним постоянным партнером","Женщина","Бакалавр","18-25","город с населением от 50 до 100 тысяч человек","работник","Гетеросексуал","В браке","только закрытыми"
"2019/05/07 5:24:42 am CET","Да","Да","2-5","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация","алкоголя","Да","Нет, потому что все мои партнеры были здоровы","Нет, потому что все мои партнеры были здоровы","Порнография (фильмы, журналы);Интернет","разговор с партнером/супругом о возможных рисках;наблюдение и самоосмотр гениталий;использование презервативов;секс с одним постоянным партнером;прерывание полового акта","Женщина","Профессионально-техническое образование","26-33","город с населением до 50 тысяч человек","работник","Гетеросексуал","В браке","только открытыми"
"2019/05/07 5:25:14 am CET","Да","Да","2-5","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация","алкоголя","Да","Нет, потому что все мои партнеры были здоровы","Нет, потому что все мои партнеры были здоровы","Порнография (фильмы, журналы);Интернет","разговор с партнером/супругом о возможных рисках;наблюдение и самоосмотр гениталий;использование презервативов;секс с одним постоянным партнером;прерывание полового акта","Женщина","Профессионально-техническое образование","26-33","город с населением до 50 тысяч человек","работник","Гетеросексуал","В браке","только открытыми"
"2019/05/07 5:56:38 am CET","Да","Да","2-5","Вагинальный секс;Оральный секс;Мастурбация","ничего из вышеперечисленного","Да","Нет, потому что я всегда пользуюсь презервативом","Нет, потому что я всегда пользуюсь презервативом","Школа, учеба, половое образование;Родители, семья, братья и сёстры;Интернет;Друзья, сотрудники;Книги и научные публикации","личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером","Женщина","Бакалавр","18-25","город с населением до 50 тысяч человек","работник","Гетеросексуал","В гетеросексуальных отношениях","только закрытыми"
"2019/05/07 6:08:37 am CET","Да","Нет","С одним постоянным партнером","Вагинальный секс;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","ничего из вышеперечисленного","Да","Нет, потому что я здоров. Я знаю, потому что у меня нет никаких симптомов","Да, я делаю это, по крайней мере, один раз в год.","Школа, учеба, половое образование","личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;использование PrEP (пред-контактная профилактика);секс с одним постоянным партнером;использование противозачаточных средств","Мужчина","Магистр","18-25","город с населением от 250 до 500 тысяч человек","работник","Гетеросексуал","В партнерстве","сложно сказать"
"2019/05/07 6:47:51 am CET","Да","Да","2-5","Вагинальный секс;Оральный секс;Мастурбация","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Нет, потому что я здоров. Я знаю, потому что у меня нет никаких симптомов","Школа, учеба, половое образование;Порнография (фильмы, журналы)","наблюдение и самоосмотр гениталий","Женщина","Бакалавр","18-25","посёлок","работник","Гетеросексуал","В партнерстве","сложно сказать"
"2019/05/07 6:54:51 am CET","Нет","","","","","","","","","","","","","","","","",""
"2019/05/07 7:01:24 am CET","Да","Нет","С одним постоянным партнером","Анальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","ничего из вышеперечисленного","Да","Нет, потому что я всегда пользуюсь презервативом","Да, два или три раза","Интернет;Врач, медсестра, акушерка","уведомление сексуального партнёра о возможной инфекции;разговор с партнером/супругом о возможных рисках;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером","Женщина","Бакалавр","18-25","город с населением в 1 миллион человек и выше","студент","Гетеросексуал","В партнерстве","сложно сказать"
"2019/05/07 7:07:19 am CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Да, я делаю это регулярно каждые 3-6 месяцев","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Родители, семья, братья и сёстры;Интернет;Друзья, сотрудники;Книги и научные публикации","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Женщина","Бакалавр","18-25","город с населением от 50 до 100 тысяч человек","работник","Гетеросексуал","В гетеросексуальных отношениях","сложно сказать"
"2019/05/07 8:08:54 am CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Мастурбация","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Нет, потому что я здоров. Я знаю, потому что у меня нет никаких симптомов","Родители, семья, братья и сёстры;Интернет;Врач, медсестра, акушерка","использование одноразовых расходников для так называемого химсекса;установление сознательных сексуальных контактов","Женщина","Бакалавр","18-25","город с населением от 250 до 500 тысяч человек","студент","Гетеросексуал","В партнерстве","сложно сказать"
"2019/05/07 8:19:08 am CET","Да","Да","2-5","Вагинальный секс;Оральный секс","алкоголя;наркотиков (Амфетамин (Speed), метамфетамин (Tina), МДМА (экстази), МДA, ГБЛ/ГXБ (Г), Кокаин, мефедрон, кетамин);марихуаны","Да","Да, я делаю это, по крайней мере, один раз в год.","Нет, потому что мне это не интересно","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники","установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов","Женщина","Бакалавр","18-25","город с населением от 100 до 250 тысяч человек","работник","Бисексуал","В браке","только закрытыми"
"2019/05/07 9:07:14 am CET","Да","Да","2-5","Вагинальный секс;Анальный секс;Оральный секс;Мастурбация;Анилингус / rimming","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Нет, потому что все мои партнеры были здоровы","Порнография (фильмы, журналы);Интернет","уведомление сексуального партнёра о возможной инфекции;использование дезинфицирующих средств для кожи и слизистых оболочек;установление сознательных сексуальных контактов;использование лубриканта;секс с одним постоянным партнером;прерывание полового акта;использование противозачаточных средств","Женщина","Бакалавр","18-25","город с населением от 50 до 100 тысяч человек","студент","Гетеросексуал","В браке","преимущественно открытыми"
"2019/05/07 9:07:37 am CET","Да","Да","2-5","Вагинальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","ничего из вышеперечисленного","Да","Нет, потому что я всегда пользуюсь презервативом","Нет, потому что я всегда пользуюсь презервативом","Школа, учеба, половое образование;Родители, семья, братья и сёстры;Интернет","установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Женщина","Бакалавр","18-25","город с населением в 1 миллион человек и выше","работник","Гетеросексуал","Одинок/а","сложно сказать"
"2019/05/07 10:06:30 am CET","Да","Да","6-10","Вагинальный секс;Анальный секс;Оральный секс","алкоголя","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это регулярно каждые 3-6 месяцев","Интернет;Друзья, сотрудники","установление сознательных сексуальных контактов;наблюдение и самоосмотр гениталий;использование презервативов","Женщина","Магистр","18-25","город с населением до 50 тысяч человек","работник","Гетеросексуал","Одинок/а","преимущественно открытыми"
"2019/05/07 10:07:40 am CET","Да","Нет","С одним постоянным партнером","Вагинальный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Нет, потому что я всегда пользуюсь презервативом","Нет, потому что я всегда пользуюсь презервативом","Школа, учеба, половое образование","личная гигиена до и после полового акта;использование презервативов;анальный и/или оральный секс","Женщина","Доктор наук или выше","18-25","город с населением до 50 тысяч человек","студент","Гетеросексуал","В гетеросексуальных отношениях","сложно сказать"
"2019/05/07 10:14:48 am CET","Да","Да","6-10","Вагинальный секс;Оральный секс;Мастурбация","алкоголя","Да","Нет, потому что я здоров. Я знаю, потому что у меня нет никаких симптомов","Нет, потому что все мои партнеры были здоровы","Школа, учеба, половое образование;Родители, семья, братья и сёстры","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Женщина","Бакалавр","18-25","город с населением от 250 до 500 тысяч человек","студент","Гетеросексуал","Одинок/а","только закрытыми"
"2019/05/07 10:51:31 am CET","Да","Да","2-5","Вагинальный секс;Оральный секс;Мастурбация;Анилингус / rimming;Куни","алкоголя;ничего из вышеперечисленного","Да","Да, я делаю это, по крайней мере, один раз в год.","Да, я делаю это, по крайней мере, один раз в год.","Школа, учеба, половое образование;Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Книги и научные публикации","регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Бакалавр","18-25","город с населением до 50 тысяч человек","студент","Бисексуал","В партнерстве","сложно сказать"
"2019/05/07 11:09:15 am CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя;наркотиков (Амфетамин (Speed), метамфетамин (Tina), МДМА (экстази), МДA, ГБЛ/ГXБ (Г), Кокаин, мефедрон, кетамин);марихуаны","Да","Нет, потому что мне это не интересно","Нет, потому что мне это не интересно","Порнография (фильмы, журналы);Интернет;Друзья, сотрудники;Врач, медсестра, акушерка","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;использование лубриканта;разговор с партнером/супругом о возможных рисках;наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером;прерывание полового акта","Женщина","Бакалавр","18-25","город с населением от 250 до 500 тысяч человек","работник","Бисексуал","В гетеросексуальных отношениях","только закрытыми"
"2019/05/07 11:53:11 am CET","Да","Нет","2-5","Вагинальный секс;Оральный секс;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения);Фистинг","алкоголя","Да","Нет, потому что я всегда пользуюсь презервативом","Нет, потому что я всегда пользуюсь презервативом","Школа, учеба, половое образование;Родители, семья, братья и сёстры;Интернет;Друзья, сотрудники;Книги и научные публикации;Врач, медсестра, акушерка","уведомление сексуального партнёра о возможной инфекции;установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;разговор с сексуальным партнером до и/или после полового акта;регулярные анализы на ЗППП;использование ПКП (немедленная постконтактная профилактика);наблюдение и самоосмотр гениталий;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером;использование противозачаточных средств","Женщина","Магистр","18-25","город с населением от 100 до 250 тысяч человек","студент","Гетеросексуал","Одинок/а","только закрытыми"
"2019/05/07 12:03:03 pm CET","Нет","","","","","","","","","","","","","","","","",""
"2019/05/07 12:03:17 pm CET","Да","Да","2-5","Вагинальный секс;Оральный секс","алкоголя","Да","Нет, потому что я всегда пользуюсь презервативом","Да, два или три раза","Порнография (фильмы, журналы);Интернет;Врач, медсестра, акушерка","установление сознательных сексуальных контактов;разговор с партнером/супругом о возможных рисках;регулярные анализы на ЗППП;личная гигиена до и после полового акта;регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Мужчина","Профессионально-техническое образование","18-25","город с населением в 1 миллион человек и выше","работник","Гетеросексуал","В браке","сложно сказать"
"2019/05/07 12:37:27 pm CET","Нет","","","","","","","","","","","","","","","","",""
"2019/05/07 12:44:45 pm CET","Да","Да","С одним постоянным партнером","Вагинальный секс;Оральный секс;Мастурбация","ничего из вышеперечисленного","Да","Да, два или три раза","Да, однажды","Интернет;Книги и научные публикации","установление сознательных сексуальных контактов;личная гигиена до и после полового акта;использование презервативов;секс с одним постоянным партнером;использование противозачаточных средств","Женщина","Магистр","18-25","посёлок","работник","Гетеросексуал","В браке","сложно сказать"
"2019/05/07 1:14:42 pm CET","Да","Да","2-5","Вагинальный секс;Оральный секс;Мастурбация;Петтинг (сексуальный контакт без орального, анального или вагинального проникновения)","алкоголя","Да","Нет, мне не нужно этого делать, у меня есть постоянный партнер более 5 лет","Нет, потому что я всегда пользуюсь презервативом","Порнография (фильмы, журналы);Интернет;Книги и научные публикации","регулярные проверки на ВИЧ и гепатит В;использование презервативов;секс с одним постоянным партнером","Женщина","Магистр","18-25","город с населением от 500 000 до 1 миллиона человек","безработный","Гетеросексуал","В гетеросексуальных отношениях","преимущественно открытыми"
