"Timestamp","In the last 5 years, have you had sex at least once?","In the last 5 years have you ever had sex without a condom?","With how many partners were you sexually active in the last 5 years?","Which sexual behaviors did you have in the last 5 years? (Choose all applicable answers)","In the last 5 years, have you ever had sex after:(Choose all applicable answers)","Do you think that the topic of safe sex applies to everyone?","In the last 5 years, have you been tested for STD’s (sexually transmitted diseases like Syphilis, Gonorrhea (The clap), Herpes simplex (HSV1), Hepatitis B, HPV)?","In the last 5 years, have you been tested for HIV?","Where does your knowledge about sexual behaviors and practices come from? (Choose all applicable answers)","What ""Safe sex"" means for you? (Choose all applicable answers)","Sex/Gender","Your age is in the range:","What is your education level?","Your place of residence is:","What is your professional situation?","What is your sexual orientation?","What is your current relationship status?","Describing your relationships from the last 5 years and the current situation, they were:"
"2019/04/15 4:45:31 pm CET","Yes","No","6-10","Anal sex;Oral sex;Masturbation","Alcohol;Drugs;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","Internet;Friends, collegues","Informing the sexual partner about the possible infection;using lubricants;conversation with a partner / spouse about possible risks;regular STD’s check-ups;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using PrEP (pre-exposure prophylaxis)","Male","34-41","Bachelor","Village","Freelancer - free profession","Homosexual","In a same-sex marriage","Only open"
"2019/04/15 7:03:30 pm CET","Yes","Yes","11-20","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol;Drugs;Poppers","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","School, studies, sex education;Internet;Friends, collegues","use of disinfectants on the skin and mucous membranes;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom","Male","34-41","Vocational education","City over 1 million","University student","Homosexual","Single","Only closed"
"2019/04/16 1:00:27 am CET","Yes","Yes","With one permanent partner","Anal sex;Oral sex;Masturbation","None of them","No. Why? Who is not affected? (Put your answer into Other...);Promiscuous people","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Friends, collegues;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;personal hygiene before and after intercourse;using a condom","Male","58-65","Bachelor","City over 1 million","Employer","Homosexual","In a same-sex marriage","Only closed"
"2019/04/16 8:22:03 am CET","Yes","Yes","I do not know, I do not count that","Vaginal sex;Anal sex;Oral sex;Masturbation","Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Parents, family, siblings","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;personal hygiene before and after intercourse;anal and / or oral sex","Male","34-41","Vocational education","City up to 50 thousand","Employee","Homosexual","Single","It's hard to say"
"2019/04/16 10:03:46 am CET","Yes","No","51-100","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Fisting;BD/SM, WS","Alcohol;Drugs;Marijuana;Poppers","Yes","No, because I always use condomes","No, because I always use condomes","School, studies, sex education;Parents, family, siblings;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;use of disposable equipment during the so-called chemsex;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;personal hygiene before and after intercourse;using a condom;use of contraceptives","Male","50-57","Master's degree","City over 1 million","Freelancer - free profession","Bisexual","In a same-sex marriage","Only open"
"2019/04/16 11:08:31 am CET","Yes","No","51-100","Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues","making conscious sexual contacts;regular STD’s check-ups;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom","Male","42-49","Bachelor","City over 1 million","Employee","Homosexual","In a same-sex marriage","Mostly open"
"2019/04/16 4:03:02 pm CET","Yes","Yes","With one permanent partner","Anal sex;Oral sex;Masturbation","Alcohol;Drugs;Marijuana","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","Internet;Friends, collegues","Informing the sexual partner about the possible infection;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);sex with one regular partner;use of contraceptives","Male","26-33","Vocational education","City over 1 million","Employee","Homosexual","In a same-sex partnership","Mostly closed"
"2019/04/16 9:07:44 pm CET","Yes","Yes","6-10","Anal sex;Oral sex;Masturbation","Alcohol;Drugs;Marijuana;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Parents, family, siblings;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;anal and / or oral sex","Male","18-25","Bachelor","City up to 50 thousand","Employee","Homosexual","Single","Mostly closed"
"2019/04/16 10:14:15 pm CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Watersports ","Alcohol;Marijuana","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;use of disinfectants on the skin and mucous membranes;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","42-49","Bachelor","Village","Employee","Bisexual","Single","Only open"
"2019/04/17 10:23:31 am CET","Yes","Yes","2-5","Vaginal sex;Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol","Yes","Yes, two or three times","Yes, but only once","School, studies, sex education;Parents, family, siblings;Internet;Friends, collegues;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;conversation with a partner / spouse about possible risks;regular STD’s check-ups;observation and genital self-examination;using a condom;use of contraceptives","Female","18-25","Master's degree","City from 100 to 250 thousand","Employee","Heterosexual","In a heterosexual relationship","Only closed"
"2019/04/17 5:52:28 pm CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Fisting","Alcohol;Drugs;Marijuana;Opioids and / or benzodiazepines (strong sedatives, antipsychotics, hypnotics, anxiolytics, antidepressants, analgesics and antitussives);Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Pornography (movies, magazines);Internet;Friends, collegues","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","42-49","Vocational education","City up to 50 thousand","Employee","Homosexual","Single","Mostly closed"
"2019/04/17 8:36:25 pm CET","Yes","Yes","2-5","Vaginal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","None of them","Yes","Yes, two or three times","Yes, two or three times","School, studies, sex education;Internet;Radio, podcast","conversation with a partner / spouse about possible risks;using a condom;sex with one regular partner","Female","26-33","Engineer","City over 1 million","Employee","Heterosexual","In a heterosexual relationship","Mostly closed"
"2019/04/17 10:18:57 pm CET","Yes","Yes","51-100","Vaginal sex;Anal sex;Oral sex","Alcohol;Poppers","No. Why? Who is not affected? (Put your answer into Other...)","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Parents, family, siblings;Internet;Friends, collegues;Doctor, nurse, midwife","personal hygiene before and after intercourse;using a condom","Male","26-33","Bachelor","City over 1 million","Employee","Bisexual","Widow/widower","It's hard to say"
"2019/04/17 11:59:05 pm CET","Yes","Yes","51-100","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly more often than every 3 months","Internet;Friends, collegues","Informing the sexual partner about the possible infection;making conscious sexual contacts;conversation with a partner / spouse about possible risks;regular STD’s check-ups;regular check-ups for HIV and hepatitis B;using a condom;sex with one regular partner","Male","26-33","Master's degree","City from 500 thousand to 1 million","Employee","Homosexual","In a homosexal relationship","Mostly open"
"2019/04/18 3:26:05 am CET","Yes","Yes","With one permanent partner","Vaginal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","None of them","Yes","No, I do not have to do this, because I have permanent partner longer than 5 years","No, I do not have to do this, because I have permanent partner longer than 5 years","School, studies, sex education","Informing the sexual partner about the possible infection","Male","42-49","Master's degree","City from 100 to 250 thousand","Employee","Heterosexual","In marriage","Only closed"
"2019/04/23 7:17:58 pm CET","Yes","Yes","11-20","Anal sex;Oral sex;Masturbation","Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","18-25","Bachelor","City from 500 thousand to 1 million","University student","Homosexual","Single","Only closed"
"2019/04/24 12:18:22 pm CET","Yes","Yes","With one permanent partner","Anal sex;Oral sex;Masturbation","Alcohol","Yes","Yes, but only once","Yes, but only once","School, studies, sex education;Internet;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);regular check-ups for HIV and hepatitis B","Male","34-41","Master's degree","City from 250 to 500 thousand","Unemployed","Homosexual","In a same-sex partnership","Only closed"
"2019/04/24 3:22:06 pm CET","Yes","Yes","2-5","Vaginal sex;Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol","Yes;Id say people who do not have sex at all and are for example asexual dont have to worry about it as much. Everyone should still know how to have safe sex. ","No, I do not have to do this, because I have permanent partner longer than 5 years","No, I do not have to do this, because I have permanent partner longer than 5 years","Internet;Friends, collegues","Informing the sexual partner about the possible infection;use of disposable equipment during the so-called chemsex;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);use of contraceptives;Id say having one sexual partner too but i dont think its wrong or unsafe to have more partners","Agender/Nonbinary","18-25","Bachelor","City from 500 thousand to 1 million","University student","Bisexual","I am in a relationship with a man","Mostly closed"
"2019/04/24 3:58:59 pm CET","","","","","","","","","","","","","","","","","",""
"2019/04/24 6:05:30 pm CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol;Drugs;Marijuana;Opioids and / or benzodiazepines (strong sedatives, antipsychotics, hypnotics, anxiolytics, antidepressants, analgesics and antitussives)","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","Pornography (movies, magazines);Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);anal and / or oral sex","Male","26-33","Bachelor","City over 1 million","University student","Homosexual","In a same-sex marriage","Mostly open"
"2019/04/24 9:11:54 pm CET","Yes","Yes","11-20","Anal sex;Oral sex;Masturbation","Alcohol","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Pornography (movies, magazines);Internet;Friends, collegues","conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","42-49","Bachelor","City over 1 million","Employee","Homosexual","In a homosexal relationship","Mostly open"
"2019/04/24 9:13:21 pm CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation;Fisting;Chem sex","Alcohol;Drugs;Marijuana;Opioids and / or benzodiazepines (strong sedatives, antipsychotics, hypnotics, anxiolytics, antidepressants, analgesics and antitussives);Poppers;Crystal meth mephadrone GHB","Personal preference ","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","School, studies, sex education;Friends, collegues;Online research","Informing the sexual partner about the possible infection;use of disposable equipment during the so-called chemsex;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);use of contraceptives","Male","26-33","Vocational education","City over 1 million","Employee","Homosexual","Single","Mostly open"
"2019/04/24 9:15:03 pm CET","Yes","Yes","more than 100","Anal sex;Oral sex;Masturbation;Fisting","Alcohol;Drugs;Marijuana;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","School, studies, sex education;Internet;Books and scientific publications;Doctor, nurse, midwife","making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using a condom;using PrEP (pre-exposure prophylaxis)","Male","34-41","Bachelor","City from 100 to 250 thousand","Employee","Homosexual","In a same-sex marriage","Mostly open"
"2019/04/24 9:19:21 pm CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation","Alcohol","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Pornography (movies, magazines);Internet;Friends, collegues;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis);anal and / or oral sex","Male","26-33","Vocational education","City over 1 million","Employee","Homosexual","Single","Only closed"
"2019/04/24 9:27:01 pm CET","Yes","Yes","2-5","Vaginal sex","Alcohol","No. Why? Who is not affected? (Put your answer into Other...);I don’t think younger people understand why safe sex is important ","No, because all of my partners were healthy","No, because all of my partners were healthy","School, studies, sex education;Parents, family, siblings;Friends, collegues;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;personal hygiene before and after intercourse;sex with one regular partner","Female","18-25","Secondary","Village","Employee","Heterosexual","In a heterosexual relationship","Only closed"
"2019/04/24 9:29:06 pm CET","Yes","Yes","6-10","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol;Poppers","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","School, studies, sex education;Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;personal hygiene before and after intercourse;using a condom;sex with one regular partner","Male","42-49","Vocational education","City from 50 to 100 thousand","Employee","Homosexual","Single","It's hard to say"
"2019/04/24 9:31:11 pm CET","Yes","Yes","more than 100","Anal sex;Oral sex;Masturbation","Alcohol;Drugs;Marijuana;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);observation and genital self-examination;use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","34-41","Secondary","City over 1 million","Employee","Homosexual","In a same-sex marriage","Only open"
"2019/04/24 9:34:09 pm CET","Yes","Yes","51-100","Anal sex;Oral sex;Masturbation","Alcohol;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues","regular STD’s check-ups;using a condom","Male","26-33","Secondary","City over 1 million","Employee","Homosexual","Single","Only closed"
"2019/04/24 9:38:41 pm CET","Yes","Yes","more than 100","Anal sex;Oral sex;Masturbation;Fisting","Alcohol;Drugs;Poppers","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","Pornography (movies, magazines)","Informing the sexual partner about the possible infection;regular STD’s check-ups;observation and genital self-examination;use of treatment as prevention of HIV infection (TasP)","Male","34-41","Secondary","City from 250 to 500 thousand","Employee","Homosexual","In a partnership","Only closed"
"2019/04/24 9:39:16 pm CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Poppers","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","Doctor, nurse, midwife","using a condom","Male","42-49","Secondary","City over 1 million","Employer","Homosexual","Single","Only closed"
"2019/04/24 9:40:32 pm CET","Yes","Yes","11-20","Anal sex;Oral sex;Masturbation","Alcohol;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Internet;Friends, collegues;Doctor, nurse, midwife","use of contraceptives","Male","26-33","Master's degree","City from 50 to 100 thousand","Employee","Homosexual","Single","Only closed"
"2019/04/24 10:18:33 pm CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation;Fisting","Alcohol","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","School, studies, sex education;Pornography (movies, magazines);Internet","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;regular check-ups for HIV and hepatitis B;sex with one regular partner","Male","26-33","Vocational education","City over 1 million","Employee","Homosexual","In a homosexal relationship","Only closed"
"2019/04/24 10:20:15 pm CET","Yes","No","51-100","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Alcohol","Yes","Yes, I do it at least once a year","No, because I always use condomes","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;personal hygiene before and after intercourse;using a condom;anal and / or oral sex","Male","50-57","Master's degree","City over 1 million","Freelancer - free profession","Homosexual","In a same-sex marriage","Only open"
"2019/04/24 10:57:18 pm CET","Yes","No","11-20","Oral sex;Masturbation","Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Internet","Informing the sexual partner about the possible infection;using lubricants;conversation with a sexual partner before and / or after intercourse","Male","50-57","Secondary","City over 1 million","Unemployed","Homosexual","Single","Mostly open"
"2019/04/24 10:57:18 pm CET","Yes","Yes","11-20","Anal sex;Oral sex;Masturbation","Alcohol;Drugs;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","Pornography (movies, magazines);Internet;Friends, collegues","conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);regular check-ups for HIV and hepatitis B;using PrEP (pre-exposure prophylaxis)","Male","26-33","Bachelor","City over 1 million","Employee","Homosexual","Single","Only closed"
"2019/04/25 12:26:51 am CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation","Alcohol;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","Pornography (movies, magazines);Internet;Friends, collegues;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;using PEP (immediate post-exposure prophylaxis);use of treatment as prevention of HIV infection (TasP);personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","42-49","Bachelor","City from 50 to 100 thousand","Employer","Homosexual","Single","Mostly open"
"2019/04/25 4:58:33 am CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation","Alcohol;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Internet;Friends, collegues","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;regular STD’s check-ups;regular check-ups for HIV and hepatitis B","Male","26-33","Secondary","City from 100 to 250 thousand","Employee","Homosexual","Single","Mostly closed"
"2019/04/25 5:38:14 pm CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation","Alcohol;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","Informing the sexual partner about the possible infection;making conscious sexual contacts;using lubricants;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;observation and genital self-examination;personal hygiene before and after intercourse;regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","34-41","PHD and higher","City from 50 to 100 thousand","Employee","Homosexual","Single","It's hard to say"
"2019/04/26 10:20:43 am CET","Yes","Yes","21-50","Anal sex;Oral sex;Masturbation;Fisting","Alcohol;Drugs;Marijuana;Poppers","Yes","Yes, I do it regularly every 3-6 months","Yes, I do it regularly every 3-6 months","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues","using a condom;using PrEP (pre-exposure prophylaxis)","Male","42-49","Master's degree","City from 250 to 500 thousand","Employee","Homosexual","In a same-sex marriage","Only open"
"2019/04/26 10:21:35 am CET","Yes","Yes","6-10","Anal sex;Oral sex;Masturbation;Fisting","Alcohol;Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","Pornography (movies, magazines);Internet;Friends, collegues","using lubricants;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;regular check-ups for HIV and hepatitis B","Male","58-65","Secondary","City over 1 million","Pensioner","Homosexual","Single","Mostly closed"
"2019/04/26 10:21:51 am CET","Yes","Yes","I do not know, I do not count that","Anal sex;Oral sex;Masturbation","Poppers","Yes","Yes, I do it regularly more often than every 3 months","Yes, I do it regularly more often than every 3 months","Internet;Doctor, nurse, midwife","use of treatment as prevention of HIV infection (TasP);regular check-ups for HIV and hepatitis B;using a condom;using PrEP (pre-exposure prophylaxis)","Male","42-49","Secondary","Village","Employee","Homosexual","In a homosexal relationship","Mostly open"
"2019/04/26 10:27:10 am CET","Yes","No","11-20","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration);Fisting","Alcohol;Poppers","Yes","No, because I always use condomes","Yes, I do it at least once a year","School, studies, sex education;Internet;Friends, collegues;Books and scientific publications","Informing the sexual partner about the possible infection;making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;using a condom","Male","42-49","Vocational education","City from 100 to 250 thousand","Employee","Homosexual","In a same-sex partnership","Mostly closed"
"2019/04/26 10:34:32 am CET","Yes","No","11-20","Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","None of them","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","School, studies, sex education;Internet","conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;regular STD’s check-ups;regular check-ups for HIV and hepatitis B;using a condom","Male","50-57","Bachelor","City from 500 thousand to 1 million","Unemployed","Homosexual","Triple polyarmorous relationship","Only open"
"2019/04/26 10:34:44 am CET","Yes","Yes","6-10","Anal sex;Oral sex;Masturbation","Alcohol;Drugs;None of them","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","Pornography (movies, magazines);Internet;Books and scientific publications","personal hygiene before and after intercourse;using a condom;sex with one regular partner","Male","42-49","Secondary","City from 50 to 100 thousand","Employer","Homosexual","In a same-sex partnership","Mostly open"
"2019/04/26 10:35:22 am CET","Yes","Yes","With one permanent partner","Anal sex;Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","None of them","No. Why? Who is not affected? (Put your answer into Other...)","No, I do not have to do this, because I have permanent partner longer than 5 years","No, I do not have to do this, because I have permanent partner longer than 5 years","School, studies, sex education;Pornography (movies, magazines);Internet;Friends, collegues;Books and scientific publications","Informing the sexual partner about the possible infection;making conscious sexual contacts;conversation with a partner / spouse about possible risks;conversation with a sexual partner before and / or after intercourse;observation and genital self-examination;regular check-ups for HIV and hepatitis B;using a condom","Male","34-41","Vocational education","Village","Freelancer - free profession","Homosexual","In a same-sex partnership","Only closed"
"2019/04/26 10:37:31 am CET","Yes","Yes","11-20","Anal sex;Oral sex;Masturbation","Alcohol","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","Internet;Books and scientific publications","Informing the sexual partner about the possible infection;regular STD’s check-ups;regular check-ups for HIV and hepatitis B;using a condom","Male","42-49","PHD and higher","City from 100 to 250 thousand","Employee","Homosexual","In a same-sex marriage","Mostly open"
"2019/04/26 10:38:18 am CET","Yes","Yes","2-5","Anal sex;Oral sex;Masturbation","Alcohol;Poppers;None of them","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","School, studies, sex education;Parents, family, siblings;Internet;Friends, collegues;Books and scientific publications;Doctor, nurse, midwife","using a condom","Male","34-41","Engineer","City up to 50 thousand","Freelancer - free profession","Homosexual","In a homosexal relationship","Only open"
"2019/04/26 10:43:20 am CET","Yes","Yes","2-5","Oral sex;Masturbation;Petting (ratio without oral, vaginal and anal penetration)","Drugs;Marijuana","Yes","Yes, I do it at least once a year","Yes, I do it at least once a year","School, studies, sex education;Parents, family, siblings;Books and scientific publications","Informing the sexual partner about the possible infection;conversation with a partner / spouse about possible risks;using a condom;sex with one regular partner","Male","50-57","Master's degree","City over 1 million","Employee","Homosexual","Single","Only closed"
